,States and selected areas:  Employment status,"of the civilian noninstitutional population, January 1976 to date,"
58,"Pennsylvania ................     8,774,000","5,105,548      58.2     4,693,332      53.5      412,216      8.1"
59,"Rhode Island ................       691,000","434,960      62.9       399,599      57.8       35,361      8.1"
60,"South Carolina ..............     1,984,000","1,292,816      65.2     1,195,062      60.2       97,754      7.6"
61,"South Dakota ................       477,000","308,735      64.7       298,900      62.7        9,835      3.2"
62,"Tennessee ...................     3,078,000","1,819,844      59.1     1,710,143      55.6      109,701      6.0"
63,"Texas .......................     8,818,000","5,627,987      63.8     5,298,778      60.1      329,209      5.8"
64,"Utah ........................       824,000","519,498      63.0       489,265      59.4       30,233      5.8"
65,"Vermont .....................       339,000","213,667      63.0       195,099      57.6       18,568      8.7"
66,"Virginia ....................     3,534,000","2,328,545      65.9     2,190,847      62.0      137,698      5.9"
67,"Washington ..................     2,598,000","1,584,688      61.0     1,446,319      55.7      138,369      8.7"
68,"West Virginia ...............     1,352,000","702,600      52.0       647,491      47.9       55,109      7.8"
69,"Wisconsin ...................     3,245,000","2,125,315      65.5     2,003,102      61.7      122,213      5.8"
70,"Wyoming .....................       270,000","175,876      65.1       168,592      62.4        7,284      4.1"
71,,
72,,
73,,February 1976
74,,
75,,
76,"Alabama .....................     2,610,000","1,491,820      57.2     1,391,975      53.3       99,845      6.7"
77,"Alaska ......................       234,000","158,961      67.9       147,666      63.1       11,295      7.1"
78,"Arizona .....................     1,626,000","971,753      59.8       871,997      53.6       99,756     10.3"
79,"Arkansas ....................     1,538,000","882,316      57.4       817,132      53.1       65,184      7.4"
80,"California ..................    15,657,000","9,775,948      62.4     8,888,464      56.8      887,484      9.1"
81,"Los Angeles County .......     5,283,000","3,374,478      63.9     3,077,504      58.3      296,974      8.8"
82,"Colorado ....................     1,837,000","1,232,109      67.1     1,164,631      63.4       67,478      5.5"
83,"Connecticut .................     2,251,000","1,442,758      64.1     1,301,572      57.8      141,186      9.8"
84,"Delaware ....................       418,000","262,592      62.8       242,420      58.0       20,172      7.7"
85,"District of Columbia ........       519,000","339,539      65.4       308,976      59.5       30,563      9.0"
86,"Florida .....................     6,437,000","3,591,389      55.8     3,247,280      50.4      344,109      9.6"
87,"Georgia .....................     3,528,000","2,249,410      63.8     2,060,612      58.4      188,798      8.4"
88,"Hawaii ......................       585,000","408,905      69.9       367,268      62.8       41,637     10.2"
89,"Idaho .......................       582,000","365,886      62.9       345,965      59.4       19,921      5.4"
90,"Illinois ....................     8,136,000","5,132,066      63.1     4,787,725      58.8      344,341      6.7"
91,"Indiana .....................     3,793,000","2,418,034      63.7     2,259,666      59.6      158,368      6.5"
92,"Iowa ........................     2,069,000","1,324,134      64.0     1,268,472      61.3       55,662      4.2"
93,"Kansas ......................     1,637,000","1,060,584      64.8     1,015,127      62.0       45,457      4.3"
94,"Kentucky ....................     2,465,000","1,489,199      60.4     1,406,247      57.0       82,952      5.6"
95,"Louisiana ...................     2,678,000","1,513,026      56.5     1,417,468      52.9       95,558      6.3"
96,"Maine .......................       766,000","475,595      62.1       433,930      56.6       41,665      8.8"
97,"Maryland ....................     2,958,000","1,904,839      64.4     1,781,465      60.2      123,374      6.5"
98,"Massachusetts ...............     4,198,000","2,714,974      64.7     2,434,220      58.0      280,754     10.3"
99,"Michigan ....................     6,424,000","3,957,748      61.6     3,566,516      55.5      391,232      9.9"
100,"Minnesota ...................     2,793,000","1,832,001      65.6     1,722,014      61.7      109,987      6.0"
101,"Mississippi .................     1,644,000","960,686      58.4       896,491      54.5       64,195      6.7"
102,"Missouri ....................     3,469,000","2,087,305      60.2     1,962,686      56.6      124,619      6.0"
103,"Montana .....................       532,000","327,202      61.5       308,039      57.9       19,163      5.9"
104,"Nebraska ....................     1,096,000","715,577      65.3       691,996      63.1       23,581      3.3"
105,"Nevada ......................       454,000","322,146      71.0       293,280      64.6       28,866      9.0"
106,"New Hampshire ...............       595,000","391,323      65.8       364,669      61.3       26,654      6.8"
107,"New Jersey ..................     5,363,000","3,280,097      61.2     2,944,167      54.9      335,930     10.2"
108,"New Mexico ..................       795,000","474,831      59.7       432,640      54.4       42,191      8.9"
109,"New York ....................    13,202,000","7,684,752      58.2     6,895,390      52.2      789,362     10.3"
110,"New York city ............     5,692,000","3,113,272      54.7     2,768,463      48.6      344,809     11.1"
111,"North Carolina ..............     3,905,000","2,595,355      66.5     2,427,272      62.2      168,083      6.5"
112,"North Dakota ................       443,000","275,468      62.2       266,304      60.1        9,164      3.3"
113,"Ohio ........................     7,706,000","4,756,607      61.7     4,371,539      56.7      385,068      8.1"
114,"Oklahoma ....................     2,003,000","1,180,479      58.9     1,110,306      55.4       70,173      5.9"
115,"Oregon ......................     1,720,000","1,073,446      62.4       969,351      56.4      104,095      9.7"
116,"Pennsylvania ................     8,780,000","5,104,850      58.1     4,691,940      53.4      412,910      8.1"
117,"Rhode Island ................       692,000","434,907      62.8       399,553      57.7       35,354      8.1"
118,"South Carolina ..............     1,988,000","1,292,440      65.0     1,194,788      60.1       97,652      7.6"
119,"South Dakota ................       478,000","308,727      64.6       298,906      62.5        9,821      3.2"
120,"Tennessee ...................     3,084,000","1,818,088      59.0     1,708,651      55.4      109,437      6.0"
121,"Texas .......................     8,844,000","5,624,823      63.6     5,295,497      59.9      329,326      5.9"
122,"Utah ........................       826,000","519,124      62.8       488,892      59.2       30,232      5.8"
123,"Vermont .....................       340,000","213,554      62.8       194,960      57.3       18,594      8.7"
124,"Virginia ....................     3,543,000","2,327,900      65.7     2,190,461      61.8      137,439      5.9"
125,"Washington ..................     2,604,000","1,583,350      60.8     1,445,338      55.5      138,012      8.7"
126,"West Virginia ...............     1,355,000","702,802      51.9       647,556      47.8       55,246      7.9"
127,"Wisconsin ...................     3,248,000","2,124,456      65.4     2,002,200      61.6      122,256      5.8"
128,"Wyoming .....................       271,000","175,705      64.8       168,416      62.1        7,289      4.1"
129,,
130,,
131,,March 1976
132,,
133,,
134,"Alabama .....................     2,615,000","1,490,600      57.0     1,392,137      53.2       98,463      6.6"
135,"Alaska ......................       236,000","159,067      67.4       147,858      62.7       11,209      7.0"
136,"Arizona .....................     1,631,000","971,967      59.6       872,637      53.5       99,330     10.2"
137,"Arkansas ....................     1,539,000","881,865      57.3       816,687      53.1       65,178      7.4"
138,"California ..................    15,694,000","9,775,283      62.3     8,892,402      56.7      882,881      9.0"
139,"Los Angeles County .......     5,292,000","3,374,522      63.8     3,079,158      58.2      295,364      8.8"
140,"Colorado ....................     1,841,000","1,231,539      66.9     1,164,628      63.3       66,911      5.4"
141,"Connecticut .................     2,253,000","1,442,821      64.0     1,301,890      57.8      140,931      9.8"
142,"Delaware ....................       418,000","262,596      62.8       242,340      58.0       20,256      7.7"
143,"District of Columbia ........       519,000","339,517      65.4       309,128      59.6       30,389      9.0"
144,"Florida .....................     6,452,000","3,591,633      55.7     3,249,159      50.4      342,474      9.5"
145,"Georgia .....................     3,534,000","2,249,490      63.7     2,061,445      58.3      188,045      8.4"
146,"Hawaii ......................       586,000","409,265      69.8       367,467      62.7       41,798     10.2"
147,"Idaho .......................       583,000","366,000      62.8       346,021      59.4       19,979      5.5"
148,"Illinois ....................     8,146,000","5,131,818      63.0     4,789,790      58.8      342,028      6.7"
149,"Indiana .....................     3,797,000","2,418,009      63.7     2,260,937      59.5      157,072      6.5"
150,"Iowa ........................     2,072,000","1,324,428      63.9     1,268,901      61.2       55,527      4.2"
151,"Kansas ......................     1,640,000","1,060,837      64.7     1,015,396      61.9       45,441      4.3"
152,"Kentucky ....................     2,470,000","1,488,878      60.3     1,406,193      56.9       82,685      5.6"
153,"Louisiana ...................     2,685,000","1,513,093      56.4     1,417,499      52.8       95,594      6.3"
154,"Maine .......................       767,000","475,697      62.0       434,134      56.6       41,563      8.7"
155,"Maryland ....................     2,962,000","1,904,177      64.3     1,781,135      60.1      123,042      6.5"
156,"Massachusetts ...............     4,201,000","2,715,650      64.6     2,435,324      58.0      280,326     10.3"
157,"Michigan ....................     6,430,000","3,959,594      61.6     3,567,979      55.5      391,615      9.9"
158,"Minnesota ...................     2,797,000","1,831,869      65.5     1,722,985      61.6      108,884      5.9"
159,"Mississippi .................     1,647,000","960,931      58.3       897,614      54.5       63,317      6.6"
160,"Missouri ....................     3,473,000","2,087,996      60.1     1,963,435      56.5      124,561      6.0"
161,"Montana .....................       533,000","327,131      61.4       308,017      57.8       19,114      5.8"
162,"Nebraska ....................     1,097,000","715,419      65.2       692,073      63.1       23,346      3.3"
163,"Nevada ......................       456,000","322,327      70.7       293,456      64.4       28,871      9.0"
164,"New Hampshire ...............       596,000","391,413      65.7       364,765      61.2       26,648      6.8"
165,"New Jersey ..................     5,367,000","3,282,199      61.2     2,945,972      54.9      336,227     10.2"
166,"New Mexico ..................       798,000","475,109      59.5       432,733      54.2       42,376      8.9"
167,"New York ....................    13,207,000","7,684,481      58.2     6,897,998      52.2      786,483     10.2"
168,"New York city ............     5,690,000","3,112,681      54.7     2,768,557      48.7      344,124     11.1"
169,"North Carolina ..............     3,912,000","2,595,712      66.4     2,428,876      62.1      166,836      6.4"
170,"North Dakota ................       444,000","275,531      62.1       266,363      60.0        9,168      3.3"
171,"Ohio ........................     7,711,000","4,757,822      61.7     4,372,663      56.7      385,159      8.1"
172,"Oklahoma ....................     2,007,000","1,180,456      58.8     1,110,496      55.3       69,960      5.9"
173,"Oregon ......................     1,724,000","1,072,689      62.2       969,546      56.2      103,143      9.6"
174,"Pennsylvania ................     8,786,000","5,106,719      58.1     4,691,831      53.4      414,888      8.1"
175,"Rhode Island ................       693,000","435,032      62.8       399,726      57.7       35,306      8.1"
176,"South Carolina ..............     1,992,000","1,291,686      64.8     1,195,034      60.0       96,652      7.5"
177,"South Dakota ................       478,000","308,704      64.6       299,010      62.6        9,694      3.1"
178,"Tennessee ...................     3,091,000","1,818,191      58.8     1,709,613      55.3      108,578      6.0"
179,"Texas .......................     8,870,000","5,629,458      63.5     5,299,209      59.7      330,249      5.9"
180,"Utah ........................       828,000","519,114      62.7       489,008      59.1       30,106      5.8"
181,"Vermont .....................       341,000","213,610      62.6       194,978      57.2       18,632      8.7"
182,"Virginia ....................     3,551,000","2,328,207      65.6     2,191,511      61.7      136,696      5.9"
183,"Washington ..................     2,611,000","1,582,676      60.6     1,445,169      55.3      137,507      8.7"
184,"West Virginia ...............     1,358,000","702,963      51.8       647,481      47.7       55,482      7.9"
185,"Wisconsin ...................     3,252,000","2,124,610      65.3     2,002,973      61.6      121,637      5.7"
186,"Wyoming .....................       272,000","175,782      64.6       168,487      61.9        7,295      4.2"
187,,
188,,
189,,April 1976
190,,
191,,
192,"Alabama .....................     2,620,000","1,489,947      56.9     1,393,177      53.2       96,770      6.5"
193,"Alaska ......................       237,000","160,192      67.6       148,970      62.9       11,222      7.0"
194,"Arizona .....................     1,636,000","974,938      59.6       877,217      53.6       97,721     10.0"
195,"Arkansas ....................     1,541,000","882,692      57.3       818,130      53.1       64,562      7.3"
196,"California ..................    15,731,000","9,795,836      62.3     8,918,330      56.7      877,506      9.0"
197,"Los Angeles County .......     5,302,000","3,378,725      63.7     3,085,543      58.2      293,182      8.7"
198,"Colorado ....................     1,846,000","1,231,011      66.7     1,164,119      63.1       66,892      5.4"
199,"Connecticut .................     2,255,000","1,446,187      64.1     1,306,078      57.9      140,109      9.7"
200,"Delaware ....................       419,000","262,989      62.8       241,923      57.7       21,066      8.0"
201,"District of Columbia ........       518,000","338,609      65.4       308,673      59.6       29,936      8.8"
202,"Florida .....................     6,468,000","3,594,014      55.6     3,258,015      50.4      335,999      9.3"
203,"Georgia .....................     3,540,000","2,253,611      63.7     2,067,967      58.4      185,644      8.2"
204,"Hawaii ......................       588,000","409,939      69.7       368,550      62.7       41,389     10.1"
205,"Idaho .......................       585,000","367,439      62.8       347,164      59.3       20,275      5.5"
206,"Illinois ....................     8,155,000","5,135,150      63.0     4,796,640      58.8      338,510      6.6"
207,"Indiana .....................     3,801,000","2,421,035      63.7     2,269,249      59.7      151,786      6.3"
208,"Iowa ........................     2,075,000","1,327,210      64.0     1,272,547      61.3       54,663      4.1"
209,"Kansas ......................     1,642,000","1,063,168      64.7     1,017,765      62.0       45,403      4.3"
210,"Kentucky ....................     2,475,000","1,489,497      60.2     1,407,354      56.9       82,143      5.5"
211,"Louisiana ...................     2,692,000","1,516,323      56.3     1,418,904      52.7       97,419      6.4"
212,"Maine .......................       769,000","476,036      61.9       434,823      56.5       41,213      8.7"
213,"Maryland ....................     2,966,000","1,905,507      64.2     1,781,610      60.1      123,897      6.5"
214,"Massachusetts ...............     4,204,000","2,717,527      64.6     2,441,683      58.1      275,844     10.2"
215,"Michigan ....................     6,436,000","3,969,449      61.7     3,580,904      55.6      388,545      9.8"
216,"Minnesota ...................     2,802,000","1,834,864      65.5     1,728,543      61.7      106,321      5.8"
217,"Mississippi .................     1,650,000","963,165      58.4       901,513      54.6       61,652      6.4"
218,"Missouri ....................     3,477,000","2,095,946      60.3     1,970,155      56.7      125,791      6.0"
219,"Montana .....................       534,000","327,166      61.3       308,014      57.7       19,152      5.9"
220,"Nebraska ....................     1,098,000","715,705      65.2       692,831      63.1       22,874      3.2"
221,"Nevada ......................       458,000","323,929      70.7       295,160      64.4       28,769      8.9"
222,"New Hampshire ...............       598,000","392,657      65.7       366,173      61.2       26,484      6.7"
223,"New Jersey ..................     5,372,000","3,290,889      61.3     2,952,460      55.0      338,429     10.3"
224,"New Mexico ..................       801,000","476,571      59.5       433,984      54.2       42,587      8.9"
225,"New York ....................    13,213,000","7,689,935      58.2     6,906,874      52.3      783,061     10.2"
226,"New York city ............     5,689,000","3,112,243      54.7     2,768,172      48.7      344,071     11.1"
227,"North Carolina ..............     3,919,000","2,599,283      66.3     2,436,634      62.2      162,649      6.3"
228,"North Dakota ................       444,000","276,266      62.2       266,864      60.1        9,402      3.4"
229,"Ohio ........................     7,716,000","4,757,433      61.7     4,376,405      56.7      381,028      8.0"
230,"Oklahoma ....................     2,011,000","1,181,507      58.8     1,112,144      55.3       69,363      5.9"
231,"Oregon ......................     1,728,000","1,073,735      62.1       972,719      56.3      101,016      9.4"
232,"Pennsylvania ................     8,792,000","5,112,956      58.2     4,696,196      53.4      416,760      8.2"
233,"Rhode Island ................       693,000","435,469      62.8       400,273      57.8       35,196      8.1"
234,"South Carolina ..............     1,996,000","1,291,005      64.7     1,196,768      60.0       94,237      7.3"
235,"South Dakota ................       479,000","308,718      64.5       299,231      62.5        9,487      3.1"
236,"Tennessee ...................     3,097,000","1,825,620      58.9     1,718,077      55.5      107,543      5.9"
237,"Texas .......................     8,896,000","5,653,373      63.5     5,321,425      59.8      331,948      5.9"
238,"Utah ........................       830,000","520,609      62.7       490,860      59.1       29,749      5.7"
239,"Vermont .....................       341,000","214,211      62.8       195,593      57.4       18,618      8.7"
240,"Virginia ....................     3,559,000","2,330,919      65.5     2,195,231      61.7      135,688      5.8"
241,"Washington ..................     2,617,000","1,586,708      60.6     1,448,989      55.4      137,719      8.7"
242,"West Virginia ...............     1,360,000","702,202      51.6       646,833      47.6       55,369      7.9"
243,"Wisconsin ...................     3,256,000","2,128,063      65.4     2,008,413      61.7      119,650      5.6"
244,"Wyoming .....................       273,000","176,667      64.7       169,387      62.0        7,280      4.1"
245,,
246,,
247,,May 1976
248,,
249,,
250,"Alabama .....................     2,626,000","1,490,609      56.8     1,394,591      53.1       96,018      6.4"
251,"Alaska ......................       239,000","161,814      67.7       150,449      62.9       11,365      7.0"
252,"Arizona .....................     1,642,000","979,281      59.6       883,408      53.8       95,873      9.8"
253,"Arkansas ....................     1,542,000","884,656      57.4       821,026      53.2       63,630      7.2"
254,"California ..................    15,768,000","9,828,900      62.3     8,953,226      56.8      875,674      8.9"
255,"Los Angeles County .......     5,311,000","3,385,461      63.7     3,093,326      58.2      292,135      8.6"
256,"Colorado ....................     1,850,000","1,231,050      66.5     1,163,412      62.9       67,638      5.5"
257,"Connecticut .................     2,257,000","1,451,468      64.3     1,312,227      58.1      139,241      9.6"
258,"Delaware ....................       420,000","263,585      62.8       241,399      57.5       22,186      8.4"
259,"District of Columbia ........       518,000","337,253      65.1       307,776      59.4       29,477      8.7"
260,"Florida .....................     6,483,000","3,597,871      55.5     3,269,479      50.4      328,392      9.1"
261,"Georgia .....................     3,547,000","2,259,949      63.7     2,077,016      58.6      182,933      8.1"
262,"Hawaii ......................       590,000","410,495      69.6       369,908      62.7       40,587      9.9"
263,"Idaho .......................       587,000","369,500      62.9       348,876      59.4       20,624      5.6"
264,"Illinois ....................     8,164,000","5,141,327      63.0     4,804,591      58.9      336,736      6.5"
265,"Indiana .....................     3,806,000","2,426,290      63.7     2,280,665      59.9      145,625      6.0"
266,"Iowa ........................     2,078,000","1,331,126      64.1     1,277,629      61.5       53,497      4.0"
267,"Kansas ......................     1,644,000","1,066,459      64.9     1,021,136      62.1       45,323      4.2"
268,"Kentucky ....................     2,480,000","1,490,936      60.1     1,409,389      56.8       81,547      5.5"
269,"Louisiana ...................     2,699,000","1,521,492      56.4     1,421,200      52.7      100,292      6.6"
270,"Maine .......................       771,000","476,408      61.8       435,607      56.5       40,801      8.6"
271,"Maryland ....................     2,971,000","1,908,475      64.2     1,783,003      60.0      125,472      6.6"
272,"Massachusetts ...............     4,207,000","2,719,627      64.6     2,450,016      58.2      269,611      9.9"
273,"Michigan ....................     6,442,000","3,982,406      61.8     3,599,367      55.9      383,039      9.6"
274,"Minnesota ...................     2,806,000","1,839,691      65.6     1,735,701      61.9      103,990      5.7"
275,"Mississippi .................     1,653,000","966,295      58.5       905,971      54.8       60,324      6.2"
276,"Missouri ....................     3,481,000","2,107,426      60.5     1,979,762      56.9      127,664      6.1"
277,"Montana .....................       535,000","327,296      61.2       308,035      57.6       19,261      5.9"
278,"Nebraska ....................     1,100,000","716,356      65.1       693,887      63.1       22,469      3.1"
279,"Nevada ......................       460,000","326,152      70.9       297,525      64.7       28,627      8.8"
280,"New Hampshire ...............       599,000","394,491      65.9       368,258      61.5       26,233      6.6"
281,"New Jersey ..................     5,376,000","3,301,261      61.4     2,960,089      55.1      341,172     10.3"
282,"New Mexico ..................       804,000","478,400      59.5       435,737      54.2       42,663      8.9"
283,"New York ....................    13,219,000","7,699,911      58.2     6,917,563      52.3      782,348     10.2"
284,"New York city ............     5,687,000","3,112,773      54.7     2,767,660      48.7      345,113     11.1"
285,"North Carolina ..............     3,926,000","2,604,867      66.3     2,446,767      62.3      158,100      6.1"
286,"North Dakota ................       445,000","277,312      62.3       267,566      60.1        9,746      3.5"
287,"Ohio ........................     7,721,000","4,755,323      61.6     4,380,800      56.7      374,523      7.9"
288,"Oklahoma ....................     2,015,000","1,183,247      58.7     1,114,483      55.3       68,764      5.8"
289,"Oregon ......................     1,732,000","1,076,382      62.1       977,331      56.4       99,051      9.2"
290,"Pennsylvania ................     8,798,000","5,120,204      58.2     4,703,981      53.5      416,223      8.1"
291,"Rhode Island ................       694,000","435,966      62.8       400,890      57.8       35,076      8.0"
292,"South Carolina ..............     2,001,000","1,291,116      64.5     1,199,126      59.9       91,990      7.1"
293,"South Dakota ................       480,000","308,764      64.3       299,427      62.4        9,337      3.0"
294,"Tennessee ...................     3,103,000","1,837,093      59.2     1,729,974      55.8      107,119      5.8"
295,"Texas .......................     8,922,000","5,684,052      63.7     5,350,734      60.0      333,318      5.9"
296,"Utah ........................       833,000","522,952      62.8       493,574      59.3       29,378      5.6"
297,"Vermont .....................       342,000","215,053      62.9       196,524      57.5       18,529      8.6"
298,"Virginia ....................     3,567,000","2,334,945      65.5     2,199,661      61.7      135,284      5.8"
299,"Washington ..................     2,623,000","1,593,891      60.8     1,455,187      55.5      138,704      8.7"
300,"West Virginia ...............     1,363,000","700,747      51.4       646,032      47.4       54,715      7.8"
301,"Wisconsin ...................     3,260,000","2,133,418      65.4     2,015,918      61.8      117,500      5.5"
302,"Wyoming .....................       274,000","177,909      64.9       170,664      62.3        7,245      4.1"
303,,
304,,
305,,June 1976
306,,
307,,
308,"Alabama .....................     2,631,000","1,493,270      56.8     1,396,510      53.1       96,760      6.5"
309,"Alaska ......................       240,000","163,686      68.2       152,003      63.3       11,683      7.1"
310,"Arizona .....................     1,647,000","984,254      59.8       890,022      54.0       94,232      9.6"
311,"Arkansas ....................     1,544,000","887,726      57.5       825,275      53.5       62,451      7.0"
312,"California ..................    15,804,000","9,870,502      62.5     8,990,510      56.9      879,992      8.9"
313,"Los Angeles County .......     5,321,000","3,393,630      63.8     3,100,486      58.3      293,144      8.6"
314,"Colorado ....................     1,855,000","1,232,568      66.4     1,163,342      62.7       69,226      5.6"
315,"Connecticut .................     2,259,000","1,457,458      64.5     1,319,292      58.4      138,166      9.5"
316,"Delaware ....................       420,000","264,322      62.9       240,938      57.4       23,384      8.8"
317,"District of Columbia ........       517,000","335,657      64.9       306,449      59.3       29,208      8.7"
318,"Florida .....................     6,499,000","3,602,438      55.4     3,280,804      50.5      321,634      8.9"
319,"Georgia .....................     3,553,000","2,267,990      63.8     2,087,124      58.7      180,866      8.0"
320,"Hawaii ......................       591,000","410,779      69.5       371,272      62.8       39,507      9.6"
321,"Idaho .......................       588,000","371,921      63.3       350,995      59.7       20,926      5.6"
322,"Illinois ....................     8,174,000","5,148,731      63.0     4,811,721      58.9      337,010      6.5"
323,"Indiana .....................     3,810,000","2,433,743      63.9     2,292,942      60.2      140,801      5.8"
324,"Iowa ........................     2,081,000","1,335,660      64.2     1,283,290      61.7       52,370      3.9"
325,"Kansas ......................     1,647,000","1,070,168      65.0     1,025,075      62.2       45,093      4.2"
326,"Kentucky ....................     2,485,000","1,492,875      60.1     1,411,989      56.8       80,886      5.4"
327,"Louisiana ...................     2,705,000","1,527,804      56.5     1,424,206      52.7      103,598      6.8"
328,"Maine .......................       772,000","476,771      61.8       436,293      56.5       40,478      8.5"
329,"Maryland ....................     2,975,000","1,912,938      64.3     1,785,651      60.0      127,287      6.7"
330,"Massachusetts ...............     4,210,000","2,721,925      64.7     2,459,155      58.4      262,770      9.7"
331,"Michigan ....................     6,448,000","3,996,173      62.0     3,620,055      56.1      376,118      9.4"
332,"Minnesota ...................     2,811,000","1,846,239      65.7     1,743,269      62.0      102,970      5.6"
333,"Mississippi .................     1,656,000","969,806      58.6       909,950      54.9       59,856      6.2"
334,"Missouri ....................     3,485,000","2,120,593      60.8     1,990,642      57.1      129,951      6.1"
335,"Montana .....................       536,000","327,764      61.2       308,353      57.5       19,411      5.9"
336,"Nebraska ....................     1,101,000","717,505      65.2       695,246      63.1       22,259      3.1"
337,"Nevada ......................       462,000","328,597      71.1       300,068      64.9       28,529      8.7"
338,"New Hampshire ...............       601,000","396,701      66.0       370,769      61.7       25,932      6.5"
339,"New Jersey ..................     5,381,000","3,311,189      61.5     2,967,398      55.1      343,791     10.4"
340,"New Mexico ..................       807,000","480,530      59.5       437,826      54.3       42,704      8.9"
341,"New York ....................    13,224,000","7,710,197      58.3     6,926,350      52.4      783,847     10.2"
342,"New York city ............     5,685,000","3,112,378      54.7     2,766,261      48.7      346,117     11.1"
343,"North Carolina ..............     3,933,000","2,611,298      66.4     2,456,438      62.5      154,860      5.9"
344,"North Dakota ................       446,000","278,512      62.4       268,372      60.2       10,140      3.6"
345,"Ohio ........................     7,726,000","4,752,606      61.5     4,385,437      56.8      367,169      7.7"
346,"Oklahoma ....................     2,019,000","1,185,470      58.7     1,117,372      55.3       68,098      5.7"
347,"Oregon ......................     1,736,000","1,081,143      62.3       983,132      56.6       98,011      9.1"
348,"Pennsylvania ................     8,804,000","5,126,930      58.2     4,714,719      53.6      412,211      8.0"
349,"Rhode Island ................       695,000","436,521      62.8       401,452      57.8       35,069      8.0"
350,"South Carolina ..............     2,005,000","1,292,328      64.5     1,201,890      59.9       90,438      7.0"
351,"South Dakota ................       480,000","308,993      64.4       299,623      62.4        9,370      3.0"
